company,Year,NetProfit,CurrencyBalance,Salary
refah,1393,46785,4698,2731
refah,1394,3815,6631,3214
refah,1395,99663,237525,5108
refah,1396,134782,13687,7279
refah,1397,472089,23625,10608
refah,1398,1255120,21954,16764
refah,1399,1524295,3314258,23199
refah,1400,1588469,2185650,30192
refah,1401,1410679,2010450,61664
refah,1402,2041277,6315829,114902
